	taxa	sample	mean	se	V1	V2	V3	V4	Time	TP
200	log_KP_rel_mean	C1-G3-T3-TP24	5.364585781	0.194345555	C1	G3	T3	TP24	72	24
201	log_CI_rel_mean	C1-G3-T4-TP0	0	NA	C1	G3	T4	TP0	48.1	0
202	log_Lac_rel_mean	C1-G3-T4-TP0	0	NA	C1	G3	T4	TP0	48.1	0
203	log_EF_rel_mean	C1-G3-T4-TP0	0	NA	C1	G3	T4	TP0	48.1	0
204	log_EC_rel_mean	C1-G3-T4-TP0	0	NA	C1	G3	T4	TP0	48.1	0
205	log_KP_rel_mean	C1-G3-T4-TP0	0	NA	C1	G3	T4	TP0	48.1	0
206	log_CI_rel_mean	C1-G3-T4-TP3	0.01330264	NA	C1	G3	T4	TP3	51	3
207	log_Lac_rel_mean	C1-G3-T4-TP3	0.01330264	NA	C1	G3	T4	TP3	51	3
208	log_EF_rel_mean	C1-G3-T4-TP3	1.55E+00	NA	C1	G3	T4	TP3	51	3
209	log_EC_rel_mean	C1-G3-T4-TP3	1.05E+00	NA	C1	G3	T4	TP3	51	3
210	log_KP_rel_mean	C1-G3-T4-TP3	4.44E+00	NA	C1	G3	T4	TP3	51	3
211	log_CI_rel_mean	C1-G3-T4-TP6	0.027113377	0.006931025	C1	G3	T4	TP6	54	6
212	log_Lac_rel_mean	C1-G3-T4-TP6	0.027113377	0.006931025	C1	G3	T4	TP6	54	6
213	log_EF_rel_mean	C1-G3-T4-TP6	4.941732279	0.186551528	C1	G3	T4	TP6	54	6
214	log_EC_rel_mean	C1-G3-T4-TP6	2.19E+00	0.413752885	C1	G3	T4	TP6	54	6
215	log_KP_rel_mean	C1-G3-T4-TP6	5.257843089	0.048399814	C1	G3	T4	TP6	54	6
216	log_CI_rel_mean	C1-G3-T4-TP12	0.233841625	0.197525834	C1	G3	T4	TP12	60	12
217	log_Lac_rel_mean	C1-G3-T4-TP12	0.182164612	0.145875858	C1	G3	T4	TP12	60	12
218	log_EF_rel_mean	C1-G3-T4-TP12	5.412247523	0.18159734	C1	G3	T4	TP12	60	12
219	log_EC_rel_mean	C1-G3-T4-TP12	2.730820773	0.500871412	C1	G3	T4	TP12	60	12
220	log_KP_rel_mean	C1-G3-T4-TP12	5.268840817	0.127720573	C1	G3	T4	TP12	60	12
221	log_CI_rel_mean	C1-G3-T4-TP24	0.272751196	0.198253934	C1	G3	T4	TP24	72	24
222	log_Lac_rel_mean	C1-G3-T4-TP24	0.180797043	0.128717963	C1	G3	T4	TP24	72	24
223	log_EF_rel_mean	C1-G3-T4-TP24	4.896728884	0.42705005	C1	G3	T4	TP24	72	24
224	log_EC_rel_mean	C1-G3-T4-TP24	3.098121142	0.340775157	C1	G3	T4	TP24	72	24
225	log_KP_rel_mean	C1-G3-T4-TP24	5.389709628	0.209297602	C1	G3	T4	TP24	72	24
226	log_CI_rel_mean	C2-G1-T1-TP0	0	0	C2	G1	T1	TP0	0	0
227	log_Lac_rel_mean	C2-G1-T1-TP0	0	0	C2	G1	T1	TP0	0	0
228	log_EF_rel_mean	C2-G1-T1-TP0	0	0	C2	G1	T1	TP0	0	0
229	log_EC_rel_mean	C2-G1-T1-TP0	0	0	C2	G1	T1	TP0	0	0
230	log_KP_rel_mean	C2-G1-T1-TP0	0	0	C2	G1	T1	TP0	0	0
231	log_CI_rel_mean	C2-G1-T1-TP3	3.003752755	0.189088331	C2	G1	T1	TP3	3	3
232	log_Lac_rel_mean	C2-G1-T1-TP3	1.535505606	0.566703917	C2	G1	T1	TP3	3	3
233	log_EF_rel_mean	C2-G1-T1-TP3	0	0	C2	G1	T1	TP3	3	3
234	log_EC_rel_mean	C2-G1-T1-TP3	3.943810831	0.326183021	C2	G1	T1	TP3	3	3
235	log_KP_rel_mean	C2-G1-T1-TP3	3.963705742	0.219543442	C2	G1	T1	TP3	3	3
236	log_CI_rel_mean	C2-G1-T1-TP6	3.670612186	0.295068591	C2	G1	T1	TP6	6	6
237	log_Lac_rel_mean	C2-G1-T1-TP6	2.29890389	0.749990898	C2	G1	T1	TP6	6	6
238	log_EF_rel_mean	C2-G1-T1-TP6	0	0	C2	G1	T1	TP6	6	6
239	log_EC_rel_mean	C2-G1-T1-TP6	4.952052769	0.217496968	C2	G1	T1	TP6	6	6
240	log_KP_rel_mean	C2-G1-T1-TP6	5.036351874	0.151685157	C2	G1	T1	TP6	6	6
241	log_CI_rel_mean	C2-G1-T1-TP12	4.029620943	0.372779253	C2	G1	T1	TP12	12	12
242	log_Lac_rel_mean	C2-G1-T1-TP12	2.291358443	0.767575907	C2	G1	T1	TP12	12	12
243	log_EF_rel_mean	C2-G1-T1-TP12	0	0	C2	G1	T1	TP12	12	12
244	log_EC_rel_mean	C2-G1-T1-TP12	4.96327345	0.194187813	C2	G1	T1	TP12	12	12
245	log_KP_rel_mean	C2-G1-T1-TP12	5.040055587	0.15822287	C2	G1	T1	TP12	12	12
246	log_CI_rel_mean	C2-G1-T1-TP24	3.234437878	0.521032994	C2	G1	T1	TP24	24	24
247	log_Lac_rel_mean	C2-G1-T1-TP24	0.899402462	0.846423422	C2	G1	T1	TP24	24	24
248	log_EF_rel_mean	C2-G1-T1-TP24	0	0	C2	G1	T1	TP24	24	24
249	log_EC_rel_mean	C2-G1-T1-TP24	4.970765296	0.150139887	C2	G1	T1	TP24	24	24
250	log_KP_rel_mean	C2-G1-T1-TP24	5.18092185	0.217608638	C2	G1	T1	TP24	24	24
251	log_CI_rel_mean	C2-G2-T1-TP0	0	0	C2	G2	T1	TP0	24.1	0
252	log_Lac_rel_mean	C2-G2-T1-TP0	0	0	C2	G2	T1	TP0	24.1	0
253	log_EF_rel_mean	C2-G2-T1-TP0	0	0	C2	G2	T1	TP0	24.1	0
254	log_EC_rel_mean	C2-G2-T1-TP0	0	0	C2	G2	T1	TP0	24.1	0
255	log_KP_rel_mean	C2-G2-T1-TP0	0	0	C2	G2	T1	TP0	24.1	0
256	log_CI_rel_mean	C2-G2-T1-TP3	0.038873639	0.019480795	C2	G2	T1	TP3	27	3
257	log_Lac_rel_mean	C2-G2-T1-TP3	0.007027497	0.004481389	C2	G2	T1	TP3	27	3
258	log_EF_rel_mean	C2-G2-T1-TP3	0	0	C2	G2	T1	TP3	27	3
