	CI_mean	Lac_mean	EF_mean	EC_mean	KP_mean	CI_rel_mean	Lac_rel_mean	EF_rel_mean	EC_rel_mean	KP_rel_mean	log_CI_rel_mean	log_Lac_rel_mean	log_EF_rel_mean	log_EC_rel_mean	log_KP_rel_mean	OD_600_mean	Dox_mean	Time_mean	CI_sd	Lac_sd	EF_sd	EC_sd	KP_sd	CI_rel_sd	Lac_rel_sd	EF_rel_sd	EC_rel_sd	KP_rel_sd	log_CI_rel_sd	log_Lac_rel_sd	log_EF_rel_sd	log_EC_rel_sd	log_KP_rel_sd	log_CI_rel_se	log_Lac_rel_se	log_EF_rel_se	log_EC_rel_se	log_KP_rel_se	OD_600_sd	Dox_sd	OD_600_se	Dox_se
C1-G2-T2-TP6	5e-05	5e-05	0.481426753666667	0.0944660346666667	0.424007204666667	0.0164812223333333	0.0164812223333333	156.411845066667	30.4051244633333	140.150068043333	0.0163403133333333	0.0163403133333333	5.032536919	3.152291889	4.906158757	327	6.46666666666667	30	5e-05	1.06616133863501e-05	0.155407690583308	0.0959061469406855	0.130242086492675	0.0164812223333333	0.00451579673267081	45.3136505064559	30.341830637065	50.6853950511434	0.0163403133333333	0.00443698761723788	0.277401043633099	0.905029325691976	0.363343301160865	0.00256169599520333	0.00256169599520333	0.160157567215053	0.522518924812768	0.209776352733473	18.3575597506858	6.46500064449597	10.5987420637231	3.73256986241085
C1-G2-T2-TP12	0.002229761	3.99666666666667e-05	0.477280166666667	0.120387729333333	0.400062412	1.045307864	0.0170520733333333	194.747837133333	48.9400378833333	171.24976502	0.487379862333333	0.0168919553333333	5.26852996533333	3.69119555666667	5.07877774633333	416	6.62	36	0.002229761	1.17508864913815e-05	0.126059990485779	0.0947247264376399	0.131164248256178	1.045307864	0.00712733276246917	30.4974778587156	39.4138635175795	77.3846544001509	0.487379862333333	0.007005543541139	0.158759377750353	0.82087055883336	0.463703446849472	0.459235986813128	0.00404465244929625	0.0916597694805436	0.473929838112279	0.2677193098627	55.5067563455117	3.40586259264815	32.0468407179241	1.96637568468829
C1-G2-T2-TP24	0.005878123	8.89646666666667e-05	0.379875212333333	0.128197598	0.485960093666667	2.72173467533333	0.0355652796666667	143.323691193333	48.0101188066667	195.908890033333	0.755200542	0.0348830893333333	4.92667830433333	3.72364980766667	5.203633599	390	4.62333333333333	48	0.005878123	2.39152408587773e-05	0.180619211240836	0.100067308151835	0.154886805307187	2.72173467533333	0.014380363828592	51.9014773506406	36.0962515242981	92.1577200310952	0.755200542	0.0138984355762497	0.37377616911175	0.690342858201672	0.497169725056617	0.726983300249038	0.00802426552126241	0.215799771853336	0.398569635015871	0.28704107459437	66.5657569625705	3.78053347205567	38.4317577011513	2.18269201777173
C1-G2-T3-TP0	0.0165187633333333	0.000833423666666667	0.279902651666667	0.280352419666667	0.422392741666667	0	0	0	0	0	0	0	0	0	0	0	106.396666666667	24.1	0.0165187633333333	0.000473027751031938	0.391767787179044	0.22067484269113	0.333722380651212	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11.9165696965752	0	6.8800347221346
C1-G2-T3-TP3	0.00052005	0.000218718	0.0895959463333333	0.110925230666667	0.798740055	0.0302758113333333	0.00888124733333333	1.68219153133333	4.98523637866667	37.6267483633333	0.029317573	0.00883646566666667	0.755047798	1.649057724	3.443337397	44.3333333333333	107.473333333333	27	0.00052005	4.66819106614114e-05	0.144788696460159	0.0514890645305425	0.124407781313469	0.0302758113333333	0.00412548301522008	2.3240631552821	3.27364850420725	26.6447655660019	0.029317573	0.00409016215204634	0.801677203516619	0.702011261962503	0.854007678967276	0.022479081330817	0.00236145621951317	0.462848549253506	0.4053063910682	0.493061563341764	27.0061721340388	2.3258833447388	15.5920207513687	1.34284937518861
C1-G2-T3-TP6	8.05196666666667e-05	8.05196666666667e-05	0.154010640666667	0.102066374333333	0.743761937333333	0.0280858246666667	0.0280858246666667	47.96122301	34.1190804766667	254.863524833333	0.0276362993333333	0.0276362993333333	3.52824202766667	3.48881387233333	5.505998546	337	18.63	30	8.05196666666667e-05	2.74634750228978e-05	0.178164700666932	0.050041228467165	0.150013520692617	0.0280858246666667	0.0140914548451514	51.3842564867008	15.5952260775796	85.2647700471507	0.0276362993333333	0.0136618830731099	1.01283269945297	0.465284449006903	0.344204197186877	0.00788769186989718	0.00788769186989718	0.584759231673228	0.268632101883882	0.198726385902042	51.9711458407451	5.1082971722483	30.0055550412475	2.94927674749816
C1-G2-T3-TP12	7.2343e-05	7.2343e-05	0.282749517333333	0.101850475	0.615255346333333	0.0304036876666667	0.0304036876666667	109.34774919	34.3705379333333	245.2209055	0.0297143153333333	0.0297143153333333	4.587316503	3.56285816666667	5.405935798	389	7.23666666666667	36	7.2343e-05	3.96613344077075e-05	0.126904975795756	0.0515886706818686	0.118185416514982	0.0304036876666667	0.0275648612874231	56.5666625120994	3.33743141781902	141.223217089169	0.0297143153333333	0.0265651479770322	0.631402664201093	0.095621607469262	0.532560585742894	0.0153373953356018	0.0153373953356018	0.364540498143548	0.0552071608127232	0.307473997538445	167.089796217483	5.95899600044616	96.4693388250035	3.44042794495749
C1-G2-T3-TP24	0.000120893	0.000120893	0.241568365	0.103046925333333	0.655142924	0.0505462016666667	0.0505462016666667	93.8682411733333	41.9813801533333	279.382619633333	0.0492703336666667	0.0492703336666667	4.50632926233333	3.70498602966667	5.580908151	415.333333333333	13.7033333333333	48	0.000120893	7.03457482723725e-06	0.138571101047448	0.0440489335786187	0.152921130822471	0.0505462016666667	0.011484970052918	36.478791237437	18.1745149849275	108.81232496856	0.0492703336666667	0.0109423430493259	0.365195267231634	0.401199406099064	0.416906876773095	0.00631756470509353	0.00631756470509353	0.210845585842961	0.231632585110012	0.240701297531953	71.5984171147193	3.07384666717996	41.3373653947343	1.77468620074398
C1-G2-T4-TP0	0.00925963	0.00378867033333333	0.249808707	0.402486802333333	0.33465619	0	0	0	0	0	0	0	0	0	0	0	232.19	24.1	0.00925963	0.00603106627822016	0.207776556022022	0.104521405776704	0.099382667234841	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	21.3172911037026	0	12.3075437571163
C1-G2-T4-TP3	0.000692943333333333	0.000243841666666667	0.0272307556666667	0.107433286	0.864399173333333	0.0123049986666667	0.00781397933333333	0.321808679333333	3.51351608533333	24.811222922	0.012223237	0.00776873733333333	0.251001332333333	1.30529000133333	3.10194475133333	28.6666666666667	262.213333333333	27	0.000692943333333333	0.000138254164408648	0.0427614749744045	0.0661499631204699	0.0572532439311617	0.0123049986666667	0.00673379528943629	0.393507805118075	3.32665366710546	14.1252662341104	0.012223237	0.00667809332324177	0.285598060778161	0.799776411067667	0.731386966671006	0.00258385567343115	0.00385559897784708	0.164890117270307	0.46175112622143	0.422266462089289	16.1967074843418	6.57192767255798	9.35117342607036	3.7943042108461
C1-G2-T4-TP6	7.66486666666667e-05	7.66486666666667e-05	0.0150712766666667	0.0967868123333333	0.887988574	0.0269573126666667	0.0269573126666667	4.67170067633333	34.1809323033333	298.760119033333	0.0264941933333333	0.0264941933333333	1.38485327266667	3.39878979966667	5.681927015	337.666666666667	19.5533333333333	30	7.66486666666667e-05	3.87512026308002e-05	0.0129703483579291	0.0566731055037933	0.0634877008422241	0.0269573126666667	0.0183876053860776	4.35545096661626	23.7615483643044	73.5360970649813	0.0264941933333333	0.0178179188096694	1.17897394004946	0.706912938604744	0.254361456414397	0.0102871802211615	0.0102871802211615	0.680680921655107	0.408136375397078	0.146855655332317	83.7874294469841	16.9359272947581	48.374694945923	9.77796218260453
C1-G2-T4-TP12	7.96363333333333e-05	7.96363333333333e-05	0.108318233333333	0.100456686666667	0.791065820666667	0.0327754933333333	0.0327754933333333	43.7629065463333	43.22381708	329.2810587	0.0321831506666667	0.0321831506666667	3.10727371766667	3.68748327	5.77614802033333	416.333333333333	8.46666666666667	36	7.96363333333333e-05	3.09185504241925e-05	0.091297734100864	0.0438738460633062	0.124863454102094	0.0327754933333333	0.0146437606446003	40.5300163482753	25.2774644343941	87.6270884273957	0.0321831506666667	0.0141259666339547	1.82274524167405	0.54031372890996	0.268130205274159	0.00815563063867739	0.00815563063867739	1.05236245594462	0.311950276833016	0.154805046192905	86.7256209740428	1.06809799800081	50.0710606150011	0.616666666666667
