	taxa	sample	mean	se	V1	V2	V3	V4	Time
331	log_CI_rel_mean	C1-G2-T4-TP6	0.0264941933333333	0.0102871802211615	C1	G2	T4	TP6	30
332	log_Lac_rel_mean	C1-G2-T4-TP6	0.0264941933333333	0.0102871802211615	C1	G2	T4	TP6	30
333	log_EF_rel_mean	C1-G2-T4-TP6	1.38485327266667	0.680680921655107	C1	G2	T4	TP6	30
334	log_EC_rel_mean	C1-G2-T4-TP6	3.39878979966667	0.408136375397078	C1	G2	T4	TP6	30
335	log_KP_rel_mean	C1-G2-T4-TP6	5.681927015	0.146855655332317	C1	G2	T4	TP6	30
346	log_CI_rel_mean	C1-G2-T4-TP12	0.0321831506666667	0.00815563063867739	C1	G2	T4	TP12	36
347	log_Lac_rel_mean	C1-G2-T4-TP12	0.0321831506666667	0.00815563063867739	C1	G2	T4	TP12	36
348	log_EF_rel_mean	C1-G2-T4-TP12	3.10727371766667	1.05236245594462	C1	G2	T4	TP12	36
349	log_EC_rel_mean	C1-G2-T4-TP12	3.68748327	0.311950276833016	C1	G2	T4	TP12	36
350	log_KP_rel_mean	C1-G2-T4-TP12	5.77614802033333	0.154805046192905	C1	G2	T4	TP12	36
361	log_CI_rel_mean	C1-G2-T4-TP24	0.121522112	0.0474018326141737	C1	G2	T4	TP24	48
362	log_Lac_rel_mean	C1-G2-T4-TP24	0.121522112	0.0474018326141737	C1	G2	T4	TP24	48
363	log_EF_rel_mean	C1-G2-T4-TP24	3.95671876466667	0.310832673386059	C1	G2	T4	TP24	48
364	log_EC_rel_mean	C1-G2-T4-TP24	3.60962963566667	0.217663069931499	C1	G2	T4	TP24	48
365	log_KP_rel_mean	C1-G2-T4-TP24	5.817003733	0.160736638467049	C1	G2	T4	TP24	48
376	log_CI_rel_mean	C1-G3-T1-TP3	0.220171451	NA	C1	G3	T1	TP3	51
377	log_Lac_rel_mean	C1-G3-T1-TP3	0.010209802	NA	C1	G3	T1	TP3	51
378	log_EF_rel_mean	C1-G3-T1-TP3	3.159384592	NA	C1	G3	T1	TP3	51
379	log_EC_rel_mean	C1-G3-T1-TP3	0.765167868	NA	C1	G3	T1	TP3	51
380	log_KP_rel_mean	C1-G3-T1-TP3	3.932570404	NA	C1	G3	T1	TP3	51
391	log_CI_rel_mean	C1-G3-T1-TP6	0.121904976	0.102888135739014	C1	G3	T1	TP6	54
392	log_Lac_rel_mean	C1-G3-T1-TP6	0.0217931206666667	0.00325570450140695	C1	G3	T1	TP6	54
393	log_EF_rel_mean	C1-G3-T1-TP6	5.07685350266667	0.0817391196445073	C1	G3	T1	TP6	54
394	log_EC_rel_mean	C1-G3-T1-TP6	2.322276087	0.845913012193131	C1	G3	T1	TP6	54
395	log_KP_rel_mean	C1-G3-T1-TP6	4.96866011266667	0.120719923908261	C1	G3	T1	TP6	54
406	log_CI_rel_mean	C1-G3-T1-TP12	0.844699579	0.818885378891946	C1	G3	T1	TP12	60
407	log_Lac_rel_mean	C1-G3-T1-TP12	0.026848624	0.00243942422363994	C1	G3	T1	TP12	60
408	log_EF_rel_mean	C1-G3-T1-TP12	5.30350032566667	0.0987504534332445	C1	G3	T1	TP12	60
409	log_EC_rel_mean	C1-G3-T1-TP12	3.20805585533333	0.672018748807989	C1	G3	T1	TP12	60
410	log_KP_rel_mean	C1-G3-T1-TP12	5.165949665	0.132807262455479	C1	G3	T1	TP12	60
421	log_CI_rel_mean	C1-G3-T1-TP24	0.639684263666667	0.599452686526141	C1	G3	T1	TP24	72
422	log_Lac_rel_mean	C1-G3-T1-TP24	0.0458540796666667	0.00607867644178929	C1	G3	T1	TP24	72
423	log_EF_rel_mean	C1-G3-T1-TP24	5.001484946	0.149185205529909	C1	G3	T1	TP24	72
424	log_EC_rel_mean	C1-G3-T1-TP24	3.38357671433333	0.469598554590673	C1	G3	T1	TP24	72
425	log_KP_rel_mean	C1-G3-T1-TP24	5.243173572	0.18189456291127	C1	G3	T1	TP24	72
436	log_CI_rel_mean	C1-G3-T2-TP3	0.009114486	NA	C1	G3	T2	TP3	51
437	log_Lac_rel_mean	C1-G3-T2-TP3	0.009114486	NA	C1	G3	T2	TP3	51
438	log_EF_rel_mean	C1-G3-T2-TP3	3.07190708	NA	C1	G3	T2	TP3	51
439	log_EC_rel_mean	C1-G3-T2-TP3	0.517337412	NA	C1	G3	T2	TP3	51
440	log_KP_rel_mean	C1-G3-T2-TP3	3.983806009	NA	C1	G3	T2	TP3	51
