Sample_ID	Sample_ID_no_rep	Rep	OD600	OD600_corr	OD600_corr_old	OD480	Dox_conc	Dox_R1_corr	Dox_corr_CC0	Time
C2-G2-T3-TP6-R3	C2-G2-T3-TP6	R3	333	279	280	120	12.09	19.86	0.17	30.0
C2-G2-T4-TP0-R1	C2-G2-T4-TP0	R1	62	0	-2	633	249.05	248.05	1.00	24.1
C2-G2-T4-TP0-R2	C2-G2-T4-TP0	R2	61	0	-3	669	265.68	274.38	1.00	24.1
C2-G2-T4-TP0-R3	C2-G2-T4-TP0	R3	60	0	-4	645	254.59	256.36	1.00	24.1
C2-G2-T4-TP12-R1	C2-G2-T4-TP12	R1	515	453	451	111	7.93	10.16	0.04	36.0
C2-G2-T4-TP12-R2	C2-G2-T4-TP12	R2	404	343	340	102	3.77	8.78	0.03	36.0
C2-G2-T4-TP12-R3	C2-G2-T4-TP12	R3	391	331	327	111	7.93	15.24	0.06	36.0
C2-G2-T4-TP24-R1	C2-G2-T4-TP24	R1	504	442	440	113	8.85	10.16	0.04	48.0
C2-G2-T4-TP24-R2	C2-G2-T4-TP24	R2	390	329	326	119	11.62	10.62	0.04	48.0
C2-G2-T4-TP24-R3	C2-G2-T4-TP24	R3	363	303	299	119	11.62	18.01	0.07	48.0
C2-G2-T4-TP3-R1	C2-G2-T4-TP3	R1	133	71	69	598	232.88	236.04	0.95	27.0
C2-G2-T4-TP3-R2	C2-G2-T4-TP3	R2	79	18	15	622	243.97	249.90	0.91	27.0
C2-G2-T4-TP3-R3	C2-G2-T4-TP3	R3	69	9	5	692	276.30	282.23	1.10	27.0
C2-G2-T4-TP6-R1	C2-G2-T4-TP6	R1	488	426	424	205	51.35	54.04	0.22	30.0
C2-G2-T4-TP6-R2	C2-G2-T4-TP6	R2	334	273	270	108	6.54	7.39	0.03	30.0
C2-G2-T4-TP6-R3	C2-G2-T4-TP6	R3	354	294	290	115	9.78	17.55	0.07	30.0
C2-G3-T1-TP0-R1	C2-G3-T1-TP0	R1	54	0	4					48.1
C2-G3-T1-TP0-R2	C2-G3-T1-TP0	R2	48	0	-2					48.1
C2-G3-T1-TP0-R3	C2-G3-T1-TP0	R3	50	0	0					48.1
C2-G3-T1-TP12-R1	C2-G3-T1-TP12	R1	534	480	484					60.0
C2-G3-T1-TP12-R2	C2-G3-T1-TP12	R2	403	355	353					60.0
C2-G3-T1-TP12-R3	C2-G3-T1-TP12	R3	327	277	277					60.0
C2-G3-T1-TP24-R1	C2-G3-T1-TP24	R1	495	441	445					72.0
C2-G3-T1-TP24-R2	C2-G3-T1-TP24	R2	368	320	318					72.0
C2-G3-T1-TP24-R3	C2-G3-T1-TP24	R3	331	281	281					72.0
C2-G3-T1-TP3-R1	C2-G3-T1-TP3	R1	134	80	84					51.0
C2-G3-T1-TP3-R2	C2-G3-T1-TP3	R2	115	67	65					51.0
C2-G3-T1-TP3-R3	C2-G3-T1-TP3	R3	72	22	22					51.0
C2-G3-T1-TP6-R1	C2-G3-T1-TP6	R1	397	343	347					54.0
C2-G3-T1-TP6-R2	C2-G3-T1-TP6	R2	374	326	324					54.0
C2-G3-T1-TP6-R3	C2-G3-T1-TP6	R3	311	261	261					54.0
C2-G3-T2-TP0-R1	C2-G3-T2-TP0	R1	54	0	4					48.1
C2-G3-T2-TP0-R2	C2-G3-T2-TP0	R2	49	0	-1					48.1
C2-G3-T2-TP0-R3	C2-G3-T2-TP0	R3	49	0	-1					48.1
C2-G3-T2-TP12-R1	C2-G3-T2-TP12	R1	525	471	475					60.0
C2-G3-T2-TP12-R2	C2-G3-T2-TP12	R2	400	351	350					60.0
C2-G3-T2-TP12-R3	C2-G3-T2-TP12	R3	340	291	290					60.0
C2-G3-T2-TP24-R1	C2-G3-T2-TP24	R1	497	443	447					72.0
C2-G3-T2-TP24-R2	C2-G3-T2-TP24	R2	377	328	327					72.0
C2-G3-T2-TP24-R3	C2-G3-T2-TP24	R3	351	302	301					72.0
C2-G3-T2-TP3-R1	C2-G3-T2-TP3	R1	146	92	96					51.0
C2-G3-T2-TP3-R2	C2-G3-T2-TP3	R2	103	54	53					51.0
C2-G3-T2-TP3-R3	C2-G3-T2-TP3	R3	65	16	15					51.0
C2-G3-T2-TP6-R1	C2-G3-T2-TP6	R1	398	344	348					54.0
C2-G3-T2-TP6-R2	C2-G3-T2-TP6	R2	390	341	340					54.0
C2-G3-T2-TP6-R3	C2-G3-T2-TP6	R3	319	270	269					54.0
C2-G3-T3-TP0-R1	C2-G3-T3-TP0	R1	54	0	4					48.1
C2-G3-T3-TP0-R2	C2-G3-T3-TP0	R2	50	0	0					48.1
C2-G3-T3-TP0-R3	C2-G3-T3-TP0	R3	50	0	0					48.1
C2-G3-T3-TP12-R1	C2-G3-T3-TP12	R1	526	472	476					60.0
C2-G3-T3-TP12-R2	C2-G3-T3-TP12	R2	373	323	323					60.0
C2-G3-T3-TP12-R3	C2-G3-T3-TP12	R3	330	280	280					60.0
C2-G3-T3-TP24-R1	C2-G3-T3-TP24	R1	479	425	429					72.0
C2-G3-T3-TP24-R2	C2-G3-T3-TP24	R2	368	318	318					72.0
C2-G3-T3-TP24-R3	C2-G3-T3-TP24	R3	335	285	285					72.0
C2-G3-T3-TP3-R1	C2-G3-T3-TP3	R1	137	83	87					51.0
C2-G3-T3-TP3-R2	C2-G3-T3-TP3	R2	110	60	60					51.0
C2-G3-T3-TP3-R3	C2-G3-T3-TP3	R3	77	27	27					51.0
