	OD_600_mean	OD_600_sd	OD_600_se	Dox_mean	Dox_sd	Dox_se	Time_mean
C1-G3-T1-TP12	418.666666666667	53.1538647074071	30.6883980972904	NA	NA	NA	60
C1-G3-T1-TP24	382.666666666667	41.1865673895426	23.7790757693491	NA	NA	NA	72
C1-G3-T1-TP3	49.3333333333333	29.2631736715848	16.8951011966323	NA	NA	NA	51
C1-G3-T1-TP6	325.333333333333	35.9490380028914	20.7551867680775	NA	NA	NA	54
C1-G3-T2-TP0	0	0	0	NA	NA	NA	48.1
C1-G3-T2-TP12	413	68.0220552468095	39.272551907577	NA	NA	NA	60
C1-G3-T2-TP24	384.666666666667	78.4495591659592	45.292874102274	NA	NA	NA	72
C1-G3-T2-TP3	46.3333333333333	30.2709982216202	17.4769689718911	NA	NA	NA	51
C1-G3-T2-TP6	337.666666666667	49.8029450267083	28.7537437176062	NA	NA	NA	54
C1-G3-T3-TP0	0	0	0	NA	NA	NA	48.1
C1-G3-T3-TP12	414.666666666667	76.0548048010994	43.9102620250792	NA	NA	NA	60
C1-G3-T3-TP24	381	62.5539766921337	36.1155552820849	NA	NA	NA	72
C1-G3-T3-TP3	58.6666666666667	29.365512652316	16.954186634706	NA	NA	NA	51
C1-G3-T3-TP6	330.666666666667	65.0025640519921	37.5292478534335	NA	NA	NA	54
C1-G3-T4-TP0	0	0	0	NA	NA	NA	48.1
C1-G3-T4-TP12	446.666666666667	48.2320778459039	27.8468031279076	NA	NA	NA	60
C1-G3-T4-TP24	412.333333333333	60.2854321816916	34.8058104983126	NA	NA	NA	72
C1-G3-T4-TP3	68.6666666666667	24.8260615751539	14.3333333333333	NA	NA	NA	51
C1-G3-T4-TP6	345	19	10.9696551146029	NA	NA	NA	54
C2-G1-NA-TP0	0	0	0	NA	NA	NA	0
C2-G1-NA-TP12	382.666666666667	47.1840368486349	27.2417163760126	NA	NA	NA	12
C2-G1-NA-TP24	369	78.8225855957542	45.508241011931	NA	NA	NA	24
C2-G1-NA-TP3	134.666666666667	33.3816316757185	19.272894033965	NA	NA	NA	3
C2-G1-NA-TP6	360	30.8058436014987	17.7857620959388	NA	NA	NA	6
C2-G2-T1-TP0	0	0	0	0	0	0	24.1
C2-G2-T1-TP12	361	61.9919349593155	35.7910603363466	0	0	0	36
C2-G2-T1-TP24	358	88.4251095560531	51.0522608053094	0	0	0	48
C2-G2-T1-TP3	48.3333333333333	43.4089084559072	25.0621449822459	0	0	0	27
C2-G2-T1-TP6	293.666666666667	49.2375195692607	28.4272951775422	0	0	0	30
C2-G2-T2-TP0	0	0	0	13.55	3.07810006335077	1.77714190016817	24.1
C2-G2-T2-TP12	359.333333333333	58.1062245661627	33.5476443948669	12.6266666666667	3.27878534419888	1.89300760108822	36
C2-G2-T2-TP24	362	84.6108740056501	48.8501108835316	7.23666666666667	6.37267866233135	3.67926774115599	48
C2-G2-T2-TP3	49.3333333333333	38.1750354725878	22.0403670064221	12.9366666666667	3.94545730344827	2.27791083622204	27
C2-G2-T2-TP6	293.333333333333	46.7582434799826	26.995884460002	12.9333333333333	3.94545730344827	2.27791083622204	30
C2-G2-T3-TP0	0	0	0	105.01	12.7416129277262	7.35637365373275	24.1
C2-G2-T3-TP12	384.333333333333	56.5361241449512	32.6411464940257	12.6266666666667	6.4870203740495	3.74528295919607	36
