	Row.names	Clostridium	Lactobacillus	Enterococcus	Escherichia	Klebsiella	Sample_ID_no_rep	Rep	OD600	OD600_corr	OD600_corr_old	OD480	Dox_conc	Dox_R1_corr	Dox_corr_CC0	Time	CI_rel	Lac_rel	EF_rel	EC_rel	KP_rel	log_CI_rel	log_Lac_rel	log_EF_rel	log_EC_rel	log_KP_rel
9	C1-G1-NA-TP24-R3	0.021412471825695	0.00300525920360631	0.315552216378663	0.288129226145755	0.371900826446281	C1-G1-NA-TP24	R3	426	373	376	NA	NA	NA	NA	24	7.98685199098422	1.12096168294515	117.700976709241	107.472201352367	138.719008264463	2.19576261930552	0.751869609858378	4.77660752996628	4.6864939314195	4.93963332189213
16	C1-G2-T1-TP0-R1	0.0135135135135135	0.0135135135135135	0.0135135135135135	0.0135135135135135	0.945945945945946	C1-G2-T1-TP0	R1	49	0	-1	90	-1.77	0	NA	24.1	0	0	0	0	0	0	0	0	0	0
17	C1-G2-T1-TP0-R2	0.00454906989134966	0.000720980533525595	0.151635663044989	0.454906989134966	0.388187297395171	C1-G2-T1-TP0	R2	44	0	-6	66	-12.86	0	NA	24.1	0	0	0	0	0	0	0	0	0	0
18	C1-G2-T1-TP0-R3	0.00805860805860806	0.0234432234432234	0.307692307692308	0.40952380952381	0.251282051282051	C1-G2-T1-TP0	R3	49	0	-1	95	0.54	0	NA	24.1	0	0	0	0	0	0	0	0	0	0
25	C1-G2-T1-TP3-R1	0.00340983653432815	0.000131010087776759	0.17914756561124	0.0430163993561397	0.774295188410515	C1-G2-T1-TP3	R1	108	59	58	90	-1.77	0	NA	27	0.201180355525361	0.00772959517882877	10.5697063710632	2.53796756201224	45.6834161162204	0.183304702951818	0.00769987491019997	2.44839016241018	1.26355242724227	3.84338898632213
26	C1-G2-T1-TP3-R2	0.000146886016451234	0.000146886016451234	0.0887770009391631	0.302554394505041	0.608374832522894	C1-G2-T1-TP3	R2	97	53	47	85	-4.08	0	NA	27	0.00778495887191539	0.00778495887191539	4.70518104977564	16.0353829087672	32.2438661237134	0.00775481243768081	0.00775481243768081	1.74137471809105	2.83529252862768	3.50387027260149
27	C1-G2-T1-TP3-R3	0.00073909830007391	0.00073909830007391	0.5536667487887	0.0601133284060113	0.384741726205141	C1-G2-T1-TP3	R3	68	19	18	94	0.08	0	NA	27	0.0140428677014043	0.0140428677014043	10.5196682269853	1.14215323971422	7.31009279789768	0.0139451801150426	0.0139451801150426	2.44405585511217	0.761811509949486	2.11747077582037
28	C1-G2-T1-TP6-R1	0.00111057132492709	6.93433187712364e-05	0.382869464268614	0.0279031045387931	0.588047516548894	C1-G2-T1-TP6	R1	390	341	340	93	-0.39	0	NA	30	0.378704821800138	0.0236460717009916	130.558487315597	9.51495864772846	200.524203143173	0.321144523542009	0.0233708337679273	4.87945152319757	2.35279887645349	5.30590948902798
29	C1-G2-T1-TP6-R2	3.68785956630771e-05	3.68785956630771e-05	0.421153562472341	0.183950435167429	0.394822245168904	C1-G2-T1-TP6	R2	366	322	316	87	-3.16	0	NA	30	0.0118749078035108	0.0118749078035108	135.611447116094	59.2320401239121	127.132762944387	0.0118049543352539	0.0118049543352539	4.91714074388987	4.09820443870366	4.85306693689148
30	C1-G2-T1-TP6-R3	8.911067545892e-05	8.911067545892e-05	0.617052315916533	0.054271945347666	0.328497517384883	C1-G2-T1-TP6	R3	355	306	305	87	-3.16	0	NA	30	0.0272678666904295	0.0272678666904295	188.818008670459	16.6072152763858	100.520240319774	0.0269027213684408	0.0269027213684408	5.24606576402704	2.86830877691948	4.62025819061939
19	C1-G2-T1-TP12-R1	0.0140012919331178	4.95761241386148e-05	0.329179310342451	0.0366416788887977	0.620128142711495	C1-G2-T1-TP12	R1	526	477	476	92	-0.85	0	NA	36	6.6786162520972	0.0236478112141193	157.018531033349	17.4780808299565	295.801124073383	2.03843935541785	0.023372533097117	5.06271231117081	2.9165852096278	5.6930622985953
20	C1-G2-T1-TP12-R2	6.12970454824077e-05	6.12970454824077e-05	0.384596534396018	0.206769692918267	0.40851117859475	C1-G2-T1-TP12	R2	446	402	396	85	-4.08	0	NA	36	0.0246414122839279	0.0246414122839279	154.607806827199	83.1214165531435	164.221493795089	0.0243427097072804	0.0243427097072804	5.047338782897	4.43226119036394	5.10728696034206
