	Row.names	Clostridium	Lactobacillus	Enterococcus	Escherichia	Klebsiella	Sample_ID_no_rep	Rep	OD600	OD600_corr	OD600_corr_old	OD480	Dox_conc	Dox_R1_corr	Dox_corr_CC0	Time	CI_rel	Lac_rel	EF_rel	EC_rel	KP_rel	log_CI_rel	log_Lac_rel	log_EF_rel	log_EC_rel	log_KP_rel
343	C4-G1-NA-TP12-R2	0.043235514	0.000885137	0.290120515	0.665758834	0	C4-G1-NA-TP12	R2	439	386	389	NA	NA	NA	NA	12	16.68890856	0.341662695	111.9865187	256.9829101	0	2.872937808	0.293909662	4.727268508	5.552893343	0
344	C4-G1-NA-TP12-R3	0.025198219	0.006082329	0.513196481	0.455522972	0	C4-G1-NA-TP12	R3	438	386	388	NA	NA	NA	NA	12	9.726512436	2.347778864	198.0938416	175.8318671	0	2.372718475	1.2082971	5.29377628	5.175199378	0
345	C4-G1-NA-TP24-R1	0.163534241	0.024627349	0.210628645	0.601209765	0	C4-G1-NA-TP24	R1	472	416	422	NA	NA	NA	NA	24	68.03024411	10.24497732	87.62151653	250.103262	0	4.234544729	2.419921568	4.484374678	5.525864257	0
346	C4-G1-NA-TP24-R2	0.035207423	0.000109182	0.147651131	0.817032264	0	C4-G1-NA-TP24	R2	408	355	358	NA	NA	NA	NA	24	12.49863522	0.03875969	52.41615146	290.0464536	0	2.602588586	0.038027396	3.978113162	5.673482889	0
347	C4-G1-NA-TP24-R3	0.019324849	0.002793373	0.354564635	0.623317142	0	C4-G1-NA-TP24	R3	444	392	394	NA	NA	NA	NA	24	7.57534099	1.095002409	138.989337	244.3403196	0	2.148890758	0.739554703	4.941566255	5.502646306	0
354	C4-G2-T1-TP0-R1	0.030868902	0.006097561	0.006097561	0.956935976	0	C4-G2-T1-TP0	R1	50	0	0	91	-1.31	0	NA	24.1	0	0	0	0	0	0	0	0	0	0
355	C4-G2-T1-TP0-R2	0.003984064	0.130430658	0.071143995	0.794441282	0	C4-G2-T1-TP0	R2	56	0	6	120	12.09	0	NA	24.1	0	0	0	0	0	0	0	0	0	0
356	C4-G2-T1-TP0-R3	0.00317236	0.000706714	0.314063604	0.682057322	0	C4-G2-T1-TP0	R3	49	0	-1	97	1.46	0	NA	24.1	0	0	0	0	0	0	0	0	0	0
363	C4-G2-T1-TP3-R1	0.005666733	0.00017584	0.427484152	0.566673275	0	C4-G2-T1-TP3	R1	56	6	6	89	-2.23	0	NA	27	0.034000397	0.001055038	2.564904913	3.400039653	0	0.03343516	0.001054482	1.271137381	1.481613553	0
364	C4-G2-T1-TP3-R2	0.00167378	8.37E-05	0.292911541	0.70533099	0	C4-G2-T1-TP3	R2	66	10	16	82	-5.47	0	NA	27	0.016737802	0.00083689	2.929115407	7.0533099	0	0.016599269	0.00083654	1.368414313	2.086083175	0
365	C4-G2-T1-TP3-R3	0.00024025	0.001041083	0.828301433	0.170417234	0	C4-G2-T1-TP3	R3	55	6	5	95	0.54	0	NA	27	0.001441499	0.006246496	4.969808601	1.022503404	0	0.001440461	0.006227068	1.786714867	0.704336053	0
366	C4-G2-T1-TP6-R1	0.001500938	7.50E-05	0.543339599	0.455084438	0	C4-G2-T1-TP6	R1	313	263	263	91	-1.31	0	NA	30	0.394746726	0.019731413	142.8983147	119.6872072	0	0.33271284	0.019539272	4.969106902	4.793202134	0
367	C4-G2-T1-TP6-R2	4.24E-05	4.24E-05	0.397674253	0.602240944	0	C4-G2-T1-TP6	R2	359	303	309	144	23.17	0	NA	30	0.012847693	0.012847693	120.4952986	182.479006	0	0.012765862	0.012765862	4.799875567	5.212100252	0
368	C4-G2-T1-TP6-R3	0.25	0.25	0.25	0.25	0	C4-G2-T1-TP6	R3	284	235	234	88	-2.69	0	NA	30	58.75	58.75	58.75	58.75	0	4.090169191	4.090169191	4.090169191	4.090169191	0
357	C4-G2-T1-TP12-R1	0.108323504	6.92E-05	0.420854285	0.470752983	0	C4-G2-T1-TP12	R1	535	485	485	88	-2.69	0	NA	36	52.53689948	0.033575632	204.1143282	228.3151967	0	3.980371126	0.033024278	5.323567522	5.435097462	0
358	C4-G2-T1-TP12-R2	4.58E-05	4.58E-05	0.464338384	0.535570024	0	C4-G2-T1-TP12	R2	445	389	395	96	1	0	NA	36	0.017814618	0.017814618	180.6276313	208.3367394	0	0.017657797	0.017657797	5.201958609	5.343944149	0
359	C4-G2-T1-TP12-R3	8.13E-05	8.13E-05	0.596770172	0.403067147	0	C4-G2-T1-TP12	R3	467	418	417	91	-1.31	0	NA	36	0.034000325	0.034000325	249.449932	168.4820673	0	0.033435091	0.033435091	5.523259028	5.132747124	0
360	C4-G2-T1-TP24-R1	0.112584054	0.000192123	0.343900096	0.543323727	0	C4-G2-T1-TP24	R1	514	464	464	88	-2.69	0	NA	48	52.23900096	0.089145053	159.5696446	252.1022094	0	3.974791229	0.085393033	5.078727771	5.533793397	0
361	C4-G2-T1-TP24-R2	0.000103284	0.000103284	0.301973338	0.697820093	0	C4-G2-T1-TP24	R2	435	379	385	82	-5.47	0	NA	48	0.039144805	0.039144805	114.4478951	264.4738153	0	0.038398072	0.038398072	4.748819303	5.581516212	0
362	C4-G2-T1-TP24-R3	0.001764392	0.000289437	0.624171053	0.373775118	0	C4-G2-T1-TP24	R3	388	339	338	90	-1.77	0	NA	48	0.59812898	0.098119078	211.5939868	126.7097651	0	0.468833557	0.093598787	5.359384182	4.849760229	0
369	C4-G2-T2-TP0-R1	0.005524862	0.005524862	0.005524862	0.983425414	0	C4-G2-T2-TP0	R1	47	0	-3	109	7.01	8.31	1	24.1	0	0	0	0	0	0	0	0	0	0
370	C4-G2-T2-TP0-R2	0.001287001	0.001287001	0.001287001	0.996138996	0	C4-G2-T2-TP0	R2	50	0	0	113	8.85	0	NA	24.1	0	0	0	0	0	0	0	0	0	0
371	C4-G2-T2-TP0-R3	0.009803922	0.009803922	0.301659125	0.678733032	0	C4-G2-T2-TP0	R3	50	0	0	123	13.47	12.01	1	24.1	0	0	0	0	0	0	0	0	0	0
378	C4-G2-T2-TP3-R1	0.008606705	0.00031635	0.442082742	0.548994203	0	C4-G2-T2-TP3	R1	56	9	6	109	7.01	9.24	1.11	27	0.077460347	0.002847147	3.978744682	4.940947824	0	0.074606741	0.002843101	1.605177787	1.781868687	0
379	C4-G2-T2-TP3-R2	0.000131579	0.000131579	0.238007479	0.761729363	0	C4-G2-T2-TP3	R2	69	19	19	106	5.62	11.09	NA	27	0.0025	0.0025	4.522142104	14.4728579	0	0.00249688	0.00249688	1.708765847	2.739087385	0
380	C4-G2-T2-TP3-R3	0.000544144	0.001360359	0.838389335	0.159706162	0	C4-G2-T2-TP3	R3	55	5	5	118	11.16	10.62	0.88	27	0.002720718	0.006801796	4.191946674	0.798530812	0	0.002717024	0.006778768	1.647108709	0.586970116	0
381	C4-G2-T2-TP6-R1	7.78E-05	7.78E-05	0.578382582	0.421461897	0	C4-G2-T2-TP6	R1	276	229	226	110	7.47	8.78	1.06	30	0.017807154	0.017807154	132.4496112	96.51477449	0	0.017650464	0.017650464	4.893723962	4.5800039	0
382	C4-G2-T2-TP6-R2	4.42E-05	4.42E-05	0.379883342	0.620028303	0	C4-G2-T2-TP6	R2	379	329	329	112	8.39	0	NA	30	0.01453437	0.01453437	124.9816196	203.9893117	0	0.014429758	0.014429758	4.83613602	5.32295784	0
383	C4-G2-T2-TP6-R3	3.76E-05	3.76E-05	0.708157531	0.291767236	0	C4-G2-T2-TP6	R3	276	226	226	110	7.47	10.16	0.85	30	0.008501354	0.008501354	160.043602	65.93939527	0	0.008465421	0.008465421	5.081675148	4.203787662	0
372	C4-G2-T2-TP12-R1	0.008408854	7.13E-05	0.476405056	0.515114779	0	C4-G2-T2-TP12	R1	486	439	436	105	5.16	7.85	0.94	36	3.691486772	0.031305712	209.1418195	226.135388	0	1.545749541	0.030825681	5.347782634	5.425546262	0
